stats_o/std,test/episode,stats_o/mean,epoch,train/success_rate,stats_g/mean,stats_g/std,test/success_rate,test/mean_Q,train/episode
0.032041125,20.0,0.25706103,0,0.0,0.8577784,0.10175099,0.65,-0.8269706,20.0
0.030460244,40.0,0.2574373,1,0.7,0.85998565,0.09373733,0.7,-0.8791752,40.0
